,,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
Universal Service Fund,,152120,181085,207167,224773.813,255341.2897,75088.73719,155083.5889,126851.5891,176681.1193,198611.7129,274842.3063,192357.0194,222666.1564,192088.1691,245837.0501,257500.0197,86521.37217,97557.13233
Taxes on international trade and transactions,,24002197,27081900,22852428,19318860.18,26977131.52,34120982.88,39549121.48,44732170.2,41462935.4,46942317.6,46102497.4,49939408.2,55722905.77,56322406.19,47455393.82,59719264.62,76067768.49,74278666.99
Import duties,,,,,,,,,,,,,,,,,,,
Customs duties,,23697003,26469876,22751022,19577114.63,26637437.79,34197900.63,38997933.41,44178728.26,40678794.85,46250125.48,45579082.85,49151743.46,54968075.62,55428360.09,47290374.7,57993758.06,73945639.42,72492158.64
Health promotion levy on imports,,0,0,0,0,0,0,0,0,0,0,0,0,53051.99168,66606.07976,67428.6948,77509.56996,110193.6312,107179.2472
Other,,,,,,,,,,,,,,,,,,,
Miscellaneous customs and excise receipts,,305194,612024,101239,-294020.3089,269304.0268,-141146.3078,495813.4312,460035.7526,667063.7147,565358.1103,405914.7271,700808.7895,623781.0313,732758.9738,46581.86914,1070567.822,1016939.389,1123674.893
Diamond export levy,,0,0,167,35765.85036,70389.70561,64228.55452,55374.6378,93406.19189,117076.8279,126834.0059,117499.8247,86855.94954,77997.12376,94681.04588,51008.55327,169992.3824,151301.0802,154691.0217
Export tax,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407436.7879,843694.9733,400963.1848
Other taxes,,615670,557123,571838,49456.818,3069.00805,-2893.70249,493.56345,31659.25245,-1202,402.50565,-125,-337,48.06047,0,0,0,0,0
Stamp duties and fees,,615670,557123,571838,49456.818,3069.00805,-2893.70249,493.56345,31659.25245,-1202,402.50565,-125,-337,48.06047,0,0,0,0,0
State miscellaneous revenue,,339171,212236,-27439,-5724.33455,16698.44968,7403.41636,17206.08957,-19097,-14570,-808,12212.10049,-23511,-8651,10037.25728,11880.09592,-10057,4093.2186,0
TOTAL TAX REVENUE (gross),,495548617,572814636,625100163,598705443.5,674183146.9,742649713.2,813825814.9,900014720.5,986295019.2,1069982618,1144080987,1249711235,1287690241,1355766258,1249711235,1563754245,1686697378,1731352677
Less: SACU payments,,-25194939,-24712567,-28920624,-27915405.31,-17905679.4,-21759964,-42151276,-43374383.81,-51737656.46,-51021909,-39448348,-55950873,-48288636,-50280313,-63395241,-45966211,-43683418,-79810981
Payments in terms of Customs Union agreements,,,,,,,,,,,,,,,,,,,
(sec. 51(2) of Act 91 of 1964),,-25194939,-24712567,-28920624,-27915405.31,-14991309.33,-21759964,-42151276,-43374384,-51737656,-51021909,-39448348,-55950873,-48288636,-50280313,-63395241,-45966211,-43683418,-79810981
Other adjustment,,0,0,0,0,-2914370.068,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL TAX REVENUE (net of SACU payments),,470353678,548102069,596179539,570790038.2,656277467.5,720889749.2,771674538.9,856640336.6,934557362.7,1018960709,1104632639,1160513001,1239401605,1305485945,1186315994,1517788033,1643013960,1651541697
Sales of goods and services other than capital assets,,2654047,2841309,3392687,2313946,2334548,2893829,2619605,1671108,1662763,2158711,2546176,2588718,2320697,2714925.72,1610615,2821922,4003771.313,2774868
Sales of goods and services produced by departments,,,,,,,,,,,,,,,,,,,
Sales by market establishments,,78043,83112,40923,34744,43791,54466,52908,52995,51270,54943,56205,55913,59041,61365,53456,57105,79356.17,114077
Administrative fees,,2150159,2287559,2849094,1529124,1691144,2194707,1877076,902551,953926,1286062,1342255,1438136,1344828,1263977,660745,1033462,1376124.574,1379435
